epoch,phase,loss,rmse_tree_count,mae_tree_count,r2_tree_count,rmse_tree_count_orig,mae_tree_count_orig,r2_tree_count_orig,support_ratio,lr
1,train,0.030764128721834764,0.24938681157920364,0.22002479038010528,-0.06828997913283241,0.6816201708822611,0.5583576027491336,-0.04801237058762364,0.3243489277720963,5.9959367012372614e-05
2,train,0.028373331880364807,0.23909562681205182,0.215800807717114,0.017577044371740347,0.663707763391396,0.5502749009073625,0.0054710311131076494,0.3243374083686796,5.9837579230613767e-05
3,train,0.028208720325912016,0.238547208479781,0.21549302919098673,0.022243924982543906,0.6623604836360443,0.5495577583897343,0.009796194425748084,0.32437850886660075,5.963476122706509e-05
4,train,0.028085471222840667,0.23816097518301288,0.2152438594433643,0.025740355894236178,0.661674004864227,0.549019263302892,0.01242618135257223,0.324472929991366,5.9351816064119175e-05
5,train,0.02808295646962178,0.23803850313559136,0.21511852006695506,0.02673966651950266,0.6611930712530492,0.5487236277351522,0.013879304421457461,0.3243553194365276,5.898903322589671e-05
5,val,0.02837371826171875,0.24270327470349531,0.2193233944886215,0.025712918260837325,0.6816250651622422,0.5622994798048941,0.025405144478702013,0.31147004839252024,5.898903322589671e-05
6,train,0.028065340099416577,0.2378776915317262,0.21499756952721719,0.028104461999722274,0.6607853770459171,0.5484393430394718,0.015171492194609115,0.324247990555006,5.854802803023e-05
7,train,0.02802478970376207,0.2375597827974385,0.214759170232429,0.030684339380906756,0.659941575298961,0.5478628604249712,0.017656908529283588,0.32431339378520657,5.802972978584613e-05
8,train,0.027961907775616954,0.23748813045833472,0.21470630606903313,0.03126638624626066,0.6596816162750947,0.5477248881800876,0.018416142337612684,0.32438496601939715,5.743501404817161e-05
9,train,0.027932778550831545,0.23723919276390873,0.21450741048739336,0.03330080100046762,0.6589631357120185,0.5472410525807722,0.02056758902807121,0.3243363867501844,5.6766528833692066e-05
10,train,0.027943859182202255,0.2372237555118721,0.21446505024934712,0.03341807428730004,0.6589146749309933,0.5471517174564499,0.020684058172673936,0.32444930833808344,5.6024958076539386e-05
10,val,0.028389799828622855,0.24261891363987687,0.2163662504535322,0.02639010409669973,0.6823784406955978,0.5552919601121173,0.023249585011085094,0.31147004839252024,5.6024958076539386e-05
11,train,0.02782482752984174,0.23697727029656185,0.21423653559692693,0.0352956508231137,0.658081709406716,0.5465551716810376,0.022925452569808824,0.32436683229110785,5.521360367620229e-05
12,train,0.027852620791979615,0.2367715233372939,0.21406460563383817,0.037085647508236286,0.6574289027044014,0.546146243149345,0.025074272166662026,0.32447505836323093,5.433329573775389e-05
13,train,0.027848272364538625,0.236666626403403,0.21398434948892023,0.03795386328581152,0.6569478449363269,0.5459206431931265,0.02653780621027335,0.32434252300999195,5.338795389840142e-05
14,train,0.027741513231793188,0.23652404859008405,0.21392527580733497,0.0389916370737472,0.6566477462108434,0.545781052367623,0.027213616031174226,0.32444803131496447,5.2379438150288276e-05
15,train,0.027723595615108638,0.2365191942244496,0.2138295742561408,0.03912512018105141,0.6566427429187811,0.5455500603754262,0.027394822342179048,0.32445272028190386,5.130956455138578e-05
