epoch,phase,loss,rmse_tree_count,mae_tree_count,r2_tree_count,rmse_tree_count_orig,mae_tree_count_orig,r2_tree_count_orig,support_ratio,lr
1,train,0.02872008228629725,0.24030868335979996,0.21897380157575969,0.014137094960558705,0.669460656062546,0.558105259898585,0.00028722065094044513,0.3259251125899377,4.986534630737415e-05
2,train,0.028617255876154424,0.23990992126660995,0.21884090306369602,0.017661953896402682,0.6684632522261645,0.5577743860768433,0.0036210015155664355,0.32418047193809063,4.946100333208025e-05
3,train,0.028767641467327104,0.24069376050212998,0.21923684133744537,0.016152231120836413,0.671668121461746,0.5593979314486204,0.0017974924790115088,0.3270054715605536,4.879139953780191e-05
4,train,0.028499118241247852,0.2390583488253459,0.21839771569028857,0.015619338387246717,0.6630870153252363,0.5558016210540142,0.0030831174365526515,0.3206367099408022,4.786387124383283e-05
5,train,0.02834983379980133,0.23865996028702036,0.21812746739743863,0.016554440734361298,0.6615900597397837,0.5549299284266261,0.003362178762411294,0.3239779259331038,4.6688580644259484e-05
5,val,0.028907478629768668,0.2438143431451979,0.22178702648205284,0.023394405212990743,0.6896144305248817,0.5684792235517729,0.012814806840808268,0.31015199384131986,4.6688580644259484e-05
6,train,0.028588835726079252,0.23963337913844038,0.21879808562244907,0.0179402130416757,0.6671006325483448,0.5575065104036355,0.0040464525287929876,0.3248427741715998,4.527840446883633e-05
7,train,0.02847190411230133,0.2392646918498865,0.21840179357734693,0.016355320905012127,0.6646536410334793,0.5560561955425387,0.00334988733800734,0.31991423774011357,4.365474899246162e-05
8,train,0.02853807796727341,0.2396199427400752,0.21869283865603487,0.016769403879276723,0.6667778726940773,0.5571260128655697,0.0028355108273950824,0.3243897297128369,4.1824215970315096e-05
9,train,0.028481604717031785,0.23931951364831316,0.21854441286090154,0.01616984072629457,0.6647652511022302,0.5564899801506669,0.0028691663492391717,0.3284616109841468,3.981209236962e-05
10,train,0.028468653098824098,0.2392472767269576,0.21835769793336782,0.01814889382300222,0.6652777469412919,0.5561564134259543,0.004011258813185092,0.32182994986727476,3.7640423437609695e-05
10,val,0.028899551986099836,0.24396319674185224,0.21806117124708274,0.022201566190730104,0.6943411330127051,0.5597910840214543,-0.0007641486430607358,0.31015199384131986,3.7640423437609695e-05
11,train,0.028470960269678908,0.23923560388934334,0.21836313654635514,0.019197275032774574,0.6653738784415724,0.556300504317586,0.005620107825664911,0.323397384066762,3.533300243355415e-05
12,train,0.028694808278296822,0.23996813311757095,0.21879556526643226,0.01912862926881076,0.6689725987326778,0.5580496188790085,0.004365788051130748,0.32514235244174183,3.2915109944832615e-05
13,train,0.028512646652169245,0.23959134435259188,0.21844082474641802,0.019583857408419503,0.6676329188071398,0.5568082523390989,0.005290307852632847,0.3210617930618758,3.0413236907528214e-05
14,train,0.028653384074312716,0.23965373264065534,0.21861002033787613,0.01989327273426411,0.6676746000511389,0.557342212054179,0.006203053478091691,0.3268400369231234,2.7863651310935256e-05
15,train,0.028356755312365766,0.2387373385232706,0.2179318414800454,0.019981446736245023,0.6633968383248603,0.5548662987752774,0.006333804865945036,0.32103658459850193,2.5276719726141925e-05
15,val,0.029021027800324676,0.24451483968104995,0.2159149819895563,0.0177746244019108,0.6975536548802392,0.5548711120557123,-0.010046082138722712,0.31015199384131986,2.5276719726141925e-05
5,test,,0.22788534239928873,0.21438752261910937,0.002647514630712111,0.6024157497360201,0.5346217071987655,0.020275234639961393,0.2676974429652609,2.5276719726141925e-05
