epoch,phase,loss,rmse_mean_height,mae_mean_height,r2_mean_height,rmse_mean_height_orig,mae_mean_height_orig,r2_mean_height_orig,support_ratio,lr
1,train,0.4674440364247745,1.1880987831763956,0.7618867447227603,-7.123041202045162,14.69480968020304,10.536006022676663,-2.4500345080032067,0.3259251125899377,9.973254503337045e-05
2,train,0.07824182674237543,0.3949564242634588,0.31135249349761196,0.10694096186388513,7.7033537686974976,6.38222482161603,0.05454122550527596,0.32418047193809063,9.892570082132618e-05
3,train,0.07571117492885523,0.38880771009257586,0.30570552424935393,0.12469913501539942,7.597155025088966,6.270306369749392,0.07013863231334927,0.3270054715605536,9.758829449735408e-05
4,train,0.07574263634960267,0.3888931661243269,0.3051819300852905,0.13544974223464312,7.581023168167498,6.250192097855895,0.0845067897854791,0.3206367099408022,9.57349789650098e-05
5,train,0.07369344914492053,0.3831582622687463,0.3005008452822631,0.1464305215349483,7.512772062602917,6.181339641229634,0.08996015845134042,0.3239779259331038,9.33860595370969e-05
5,val,0.07587660752333604,0.3849446846809218,0.3135464285775627,0.0767340652474664,7.753089792960901,6.4026158357155545,-0.045606273304037215,0.31015199384131986,9.33860595370969e-05
6,train,0.07391776907484966,0.38430504123890535,0.3013554841339401,0.15505282276034626,7.502687537346786,6.179066533415493,0.10256873550007661,0.3248427741715998,9.056727146641088e-05
7,train,0.07318220105777491,0.38244520678761473,0.299512424510533,0.15206288372347254,7.479464043240229,6.147991938612506,0.09676925285496396,0.31991423774011357,8.730949798492324e-05
8,train,0.07393003902894116,0.3837291005785655,0.30125751569727566,0.1522230371305181,7.532644140981234,6.201766831627383,0.09516374451406806,0.3243897297128369,8.364843194063019e-05
9,train,0.07385998493207689,0.3837500967464969,0.30106041510748843,0.14389460590529513,7.533336458940014,6.190778849543597,0.0854986362909167,0.3284616109841468,7.962418473924e-05
10,train,0.07276219109079682,0.3816690116913593,0.2991208464530779,0.1550793679503294,7.4741952193437475,6.147920725094199,0.10174449238317418,0.32182994986727476,7.528084687521939e-05
10,val,0.07152012416294642,0.37116422221611467,0.2807338858209063,0.14165403427257262,7.105601101698438,5.727294666527187,0.12174587369307377,0.31015199384131986,7.528084687521939e-05
11,train,0.07384320550767827,0.3833667806009668,0.300159890178162,0.1587713846310458,7.471599431857576,6.13947477319922,0.10703840493579542,0.323397384066762,7.06660048671083e-05
12,train,0.07367992073399914,0.3831727186815234,0.3004190186402327,0.15234353667508238,7.507570515907492,6.171486084762281,0.09504634945020618,0.32514235244174183,6.583021988966523e-05
13,train,0.07319436614046392,0.3822362427570465,0.2997157563329817,0.165728044537092,7.469626578757769,6.142253568630801,0.11243358765080547,0.3210617930618758,6.082647381505643e-05
14,train,0.07263991103549183,0.38124273990059476,0.29790398858818845,0.16394709372702287,7.423022691971402,6.098397197538358,0.11520748566583028,0.3268400369231234,5.572730262187051e-05
15,train,0.0719592956333226,0.37953987308052395,0.2967170179300039,0.16752794914635138,7.411288003717986,6.089207867293879,0.11558760426647952,0.32103658459850193,5.055343945228385e-05
15,val,0.07076630035004058,0.3695231338334373,0.28212716146214134,0.14922754176793385,7.128508716806689,5.754564764260359,0.116073971381776,0.31015199384131986,5.055343945228385e-05
16,train,0.07161028360583119,0.3777869846440532,0.295298564881,0.16592806454077824,7.3960431770043735,6.0715606886694165,0.1137569673997626,0.32440580125526874,4.537899078887507e-05
17,train,0.07209531384235396,0.3796555270294611,0.29704624469854846,0.17112236979239737,7.414968340981388,6.092206497458066,0.11999663975444241,0.32430635694785626,4.026064897402341e-05
18,train,0.0721081081534579,0.37905225649713026,0.2966280722613035,0.17808724371179718,7.38699575999782,6.0697310778408875,0.12928923354535282,0.32155989289693404,3.525449163173428e-05
19,train,0.07221476236979167,0.3793587278730911,0.2968687742960472,0.1719258386768635,7.415319620731486,6.092405980725208,0.12052669398252591,0.32301975525531573,3.0415367269455604e-05
20,train,0.07188808795103092,0.37871575491963305,0.2962161384864146,0.17425179777241084,7.424846996887427,6.101080383624588,0.12095550836136026,0.32686046062875856,2.579629434635245e-05
20,val,0.07028911640117695,0.3683908309294295,0.2824619263033379,0.15443347396920715,7.125409489248156,5.762798999383032,0.11684240486468078,0.31015199384131986,2.579629434635245e-05
21,train,0.07183848377765249,0.3788063410444829,0.2961833471472769,0.17469768465636049,7.423757668786531,6.094543506532646,0.12271509326036689,0.32708821509711933,2.1462304712471535e-05
22,train,0.0722266128382732,0.3794165760012015,0.29748516869378294,0.1764661133724046,7.417670354147121,6.1004808005086275,0.1237539224401123,0.32387818012040914,1.7431020294958442e-05
23,train,0.07172941751906142,0.3780275989909715,0.2959140927481738,0.16952216753559424,7.42055233994843,6.093558170339388,0.11515680801660388,0.3264717678843495,1.3762046539222664e-05
24,train,0.07134307127228308,0.37683336095282594,0.29419949900645537,0.1752890328870752,7.376678528169158,6.051322043265325,0.1232451808921099,0.3269837238534619,1.0495581489514241e-05
25,train,0.07139477287371133,0.3774875992367295,0.29488554518690246,0.17519301026564804,7.371716909258998,6.054689892364884,0.12527886359475837,0.3266357474310701,7.667413220469413e-06
25,val,0.0701836920403815,0.36821962526943425,0.2837204390353262,0.15521922716305614,7.147356940398208,5.788966338266166,0.11139348021428042,0.31015199384131986,7.667413220469413e-06
26,train,0.07167614284659579,0.3778038811282691,0.29605507464830694,0.17372367195017424,7.415426025030083,6.0956265233294085,0.1172879889974161,0.32777927831276177,5.308527735476115e-06
27,train,0.07100056127174613,0.37653739528955704,0.2939734699103137,0.18039930863471054,7.343171793383574,6.031226578683244,0.13337447212618614,0.32204965545549424,3.4447694775366006e-06
28,train,0.07171442090850516,0.3782199872436091,0.2962107830076662,0.17643405094553766,7.4002692914612815,6.086086993299533,0.1267329632001587,0.3239332638245678,2.100289946130376e-06
29,train,0.0711449691929768,0.3764869196582348,0.29430054273633494,0.17640829169786942,7.370343984097088,6.047881607620366,0.12518674822649944,0.326680907678768,1.280555771857098e-06
30,train,0.07174336541559279,0.37805149199739657,0.29551469408772774,0.1847580367645414,7.363595208456785,6.049378118453107,0.13611510673174854,0.3261526835333441,1.0000801283782066e-06
30,val,0.07016783875304383,0.3682504524469232,0.2845837525317881,0.15507777192733774,7.162722873148382,5.807140010294575,0.10756858504492772,0.31015199384131986,1.0000801283782066e-06
25,test,,0.4101103356151813,0.31905313929253365,0.11846131748188038,7.76953906334608,6.360454436081853,0.1319100595744892,0.2676974429652609,1.0000801283782066e-06
