epoch,phase,loss,rmse_mean_height,mae_mean_height,r2_mean_height,rmse_mean_height_orig,mae_mean_height_orig,r2_mean_height_orig,support_ratio,lr
1,train,0.13151763785038895,0.6068813784273311,0.37182906518220393,-1.1235336519331502,8.939708265640638,6.766991725642611,-0.28063854614934947,0.3243802312106022,5.9959506492962595e-05
2,train,0.05465255540839592,0.3304502418724019,0.2504948580644858,0.3701188581617856,6.558111186686456,5.185309173551437,0.31063342508704717,0.32434669461884724,5.983771861020425e-05
3,train,0.05101627464458155,0.3196694642052198,0.24058069541765217,0.4108971145279956,6.322413115020181,4.971938894058994,0.35949445372763766,0.3242768643751677,5.963496989387692e-05
4,train,0.04940406897548954,0.31437617527100764,0.23582970949165866,0.43029160085156204,6.211207420311729,4.871724699412776,0.3819324859362314,0.3242559015495071,5.9351816064119175e-05
5,train,0.047899604764619096,0.3094682513528891,0.23100049482434037,0.447762680049292,6.098020483102858,4.765938691776768,0.4040877044312924,0.32436579757493966,5.898903322589671e-05
5,val,0.048270231758067814,0.30458748932898494,0.22804109736606154,0.4283451951398012,5.940400316005345,4.652539886744728,0.39118384116194405,0.31147004839252024,5.898903322589671e-05
6,train,0.046719137691121244,0.3055420699048084,0.22746840855867,0.46177786848650737,6.018705348605156,4.693342089953964,0.41955094325064535,0.324274107314998,5.854802803023e-05
7,train,0.04580381991013949,0.30260426114518296,0.22461622620556984,0.4719769441610231,5.953184522980978,4.631798451435423,0.43203117982188366,0.3243421890193301,5.802972978584613e-05
8,train,0.04526538767016497,0.30097590992162726,0.22319850587030302,0.4777158801070702,5.919076112173451,4.6025078572070095,0.43858545799641946,0.32432963489974515,5.743501404817161e-05
9,train,0.044355518521157454,0.29784981042895275,0.22012668283045816,0.4884891914491454,5.84614128189115,4.5341359690781875,0.45228442370276367,0.3243424313262808,5.6766528833692066e-05
10,train,0.04379145413509254,0.29595451973388076,0.21840567015789228,0.4949955468499625,5.807831245395745,4.499084791941533,0.45949314578266287,0.3243858959541812,5.6024958076539386e-05
10,val,0.04681192036547692,0.3016486848648388,0.22891631643270835,0.43932317106610796,5.9601438017856,4.677363670871483,0.3871301991190439,0.31147004839252024,5.6024958076539386e-05
