epoch,phase,loss,rmse_mean_height,mae_mean_height,r2_mean_height,rmse_mean_height_orig,mae_mean_height_orig,r2_mean_height_orig,support_ratio,lr
1,train,0.12072499811393508,0.5688194593179532,0.3567217348995091,-0.8653368125183305,8.719397161492898,6.664166724999006,-0.21828805765814585,0.3243489277720963,5.9959506492962595e-05
2,train,0.05405333686795869,0.3290156186824302,0.24946990338110805,0.37582913744234303,6.5227844729674604,5.159971913469848,0.3182394092188706,0.3243374083686796,5.983771861020425e-05
3,train,0.05118168515708825,0.31943703707605176,0.2404143197832536,0.41170388816294745,6.319202338440993,4.967914852224707,0.36015242995554997,0.32437850886660075,5.963496989387692e-05
4,train,0.04910506219822961,0.31318454712242844,0.23471205646951215,0.4343764320032806,6.181471244856646,4.845623280381311,0.38762852005698667,0.324472929991366,5.9351816064119175e-05
5,train,0.04768887630348042,0.3087658206608391,0.2303700140698239,0.4502920743262052,6.084078397385707,4.752238520706098,0.40679622089417655,0.3243553194365276,5.898903322589671e-05
5,val,0.04784408270143995,0.3044216003709641,0.22554439420931716,0.42896771181598936,5.916466520416826,4.602620513619613,0.3960797831763727,0.31147004839252024,5.898903322589671e-05
6,train,0.04674144302826583,0.305276414650328,0.22733375806355208,0.4627306267632565,6.00975162440808,4.690312019662437,0.4212790584321481,0.324247990555006,5.854802803023e-05
7,train,0.045835136446318404,0.3022041646052546,0.22447219255400805,0.47346813499690177,5.945723341132822,4.628329241777411,0.433513798573272,0.32431339378520657,5.802972978584613e-05
8,train,0.04519261699889351,0.30035555622692395,0.22261098966337614,0.47980382292557333,5.899960194516905,4.586548454925237,0.4421241743568496,0.32438496601939715,5.743501404817161e-05
9,train,0.04428095346868294,0.29763689237094154,0.22001309920512152,0.48927542018796866,5.840557086638783,4.531618401941069,0.4533865963464835,0.3243363867501844,5.6766528833692066e-05
10,train,0.04384612382225724,0.29582132570435116,0.21838370153103756,0.4953554243459455,5.8032360141851775,4.497782094125513,0.460311931836503,0.32444930833808344,5.6024958076539386e-05
10,val,0.04575113533369077,0.29833872741145046,0.22690863006191228,0.45156015208264455,5.915938595075785,4.643757696444436,0.396187553772551,0.31147004839252024,5.6024958076539386e-05
11,train,0.04334130021123927,0.2941357347079122,0.21673415488246275,0.5011776522775415,5.764759445033372,4.461142222286638,0.46749991226615606,0.32436683229110785,5.521360367620229e-05
12,train,0.04287625423316792,0.29240326275458184,0.21502320781492348,0.5069915450353892,5.726363942543936,4.4246420423312935,0.4745353071783043,0.32447505836323093,5.433329573775389e-05
13,train,0.04237490150549893,0.29082282425481415,0.2134864867850938,0.5123879749749617,5.689611600821373,4.391334476599796,0.48125110666623594,0.32434252300999195,5.338795389840142e-05
14,train,0.04192517980485515,0.2896379792530129,0.21234127198550246,0.5163223075322416,5.663088207628241,4.366039360056099,0.4860987860019885,0.32444803131496447,5.2379438150288276e-05
15,train,0.041811308635662556,0.28897925841069655,0.21170987494903737,0.5185032953478315,5.649957873971109,4.351857851723548,0.488436887916876,0.32445272028190386,5.130956455138578e-05
15,val,0.04379122864966299,0.29171900407691775,0.21649028064980647,0.47562837804197744,5.699427627935896,4.424439536461956,0.4395753461182521,0.31147004839252024,5.130956455138578e-05
16,train,0.041285135817630096,0.28725852048329836,0.21006839551578857,0.5241183256948525,5.609353676895625,4.316143383100259,0.49572224222502603,0.32442789364270386,5.018309679424111e-05
17,train,0.040988643793589054,0.2861659153176644,0.20893759866406383,0.527913845240513,5.583412484767215,4.291168189519362,0.5005376651568071,0.3242247880272599,4.900118737965954e-05
18,train,0.04077812489521861,0.28512604775800965,0.20793320362071802,0.5312749373780762,5.558362537128777,4.268678875107552,0.5049347375477021,0.3244594852300161,4.7769098848071516e-05
19,train,0.04041027674859174,0.28402235112379476,0.20677972393910143,0.5348616211617943,5.536093423358757,4.244508339003152,0.5089060371722867,0.32442750726134995,4.648921087693083e-05
20,train,0.04009980950744367,0.2829533477713293,0.20575299000318184,0.5383444830483594,5.50935216254433,4.221038462653386,0.5135931849143712,0.32449737024921205,4.5163869901664314e-05
20,val,0.04405581405739379,0.2923215685404597,0.22118250257667738,0.47345989380527687,5.792681931068598,4.526828463811023,0.42108592200967254,0.31147004839252024,4.5163869901664314e-05
21,train,0.03993814492941926,0.2820037294297959,0.20486322901926995,0.5413833420084363,5.488688743611636,4.2016959852519165,0.5172095555983011,0.32452190219076915,4.379897710249805e-05
22,train,0.0395301131219823,0.28091799805216977,0.20373742399366682,0.5450778785144981,5.461987713315854,4.175953642394549,0.5220074389918234,0.32433304684356556,4.239592891536201e-05
23,train,0.039370478683275215,0.2802143166481324,0.2029823810126477,0.5473211030318827,5.443455210659855,4.158299896514415,0.5252139022854889,0.3243670353050396,4.09609725176791e-05
24,train,0.03903544020755097,0.2791084766089341,0.20181000741872787,0.5508387053948414,5.418148189823798,4.132432877047738,0.5295886443094745,0.3243049981768039,3.9495576028170916e-05
25,train,0.038777507732866145,0.27816224864271777,0.2009574989176202,0.5538616235680978,5.397805517764257,4.114570495562923,0.5331210680678999,0.3244378544230318,3.800626423475921e-05
25,val,0.04389928680619383,0.29211933590263994,0.22075443710077527,0.47418817917687095,5.776279269090848,4.519200447481668,0.42435980719995325,0.31147004839252024,3.800626423475921e-05
15,test,,0.30913562843120196,0.23393196619069317,0.4991149522753081,5.970600658275401,4.6224021077997,0.48736262826399057,0.2680268385286989,3.800626423475921e-05
