epoch,phase,loss,rmse_tree_count,mae_tree_count,r2_tree_count,rmse_tree_count_orig,mae_tree_count_orig,r2_tree_count_orig,support_ratio,lr
1,train,0.032214800789632514,0.25541108292017733,0.222334452397612,-0.12048540622449422,0.6871523506482063,0.5616557240792242,-0.0650534689044151,0.3243802312106022,5.9959436782623226e-05
2,train,0.02831100005448632,0.23909198582876376,0.2159059575566794,0.018109005076086038,0.6639685906605076,0.5505706330352317,0.005586878919654703,0.32434669461884724,5.9837579230613767e-05
3,train,0.028172125427508046,0.23845140171471382,0.21556001652424842,0.02336512505550392,0.6624040381557753,0.5497439893824241,0.010280290611450749,0.3242768643751677,5.963476122706509e-05
4,train,0.02810858861571218,0.23814507027668716,0.21529832966144236,0.02589568519796881,0.6615604304057995,0.5491244406014578,0.012832182274450266,0.3242559015495071,5.9351816064119175e-05
