epoch,phase,loss,rmse_mean_height,mae_mean_height,r2_mean_height,rmse_mean_height_orig,mae_mean_height_orig,r2_mean_height_orig,support_ratio,lr
1,train,0.07266549965769974,0.38076083405732514,0.29781609756293037,0.1657079737014886,7.453275147500679,6.111558944445714,0.11245615656206409,0.3259251125899377,4.986534630737415e-05
2,train,0.07105142390195447,0.37677804718895963,0.2937994057295549,0.18725746888662087,7.366531252693764,6.030755773998434,0.13541244004311803,0.32418047193809063,4.946100333208025e-05
3,train,0.06853828561265034,0.37012886269869977,0.28693306215382364,0.20678023662574607,7.223775976289184,5.893936945058598,0.15929280166180926,0.3270054715605536,4.879139953780191e-05
4,train,0.06864483495758161,0.37034729259173005,0.2871692017836241,0.21594239831819795,7.219631303269911,5.888270467507512,0.16971055206697006,0.3206367099408022,4.786387124383283e-05
5,train,0.06490197460266323,0.359954114139341,0.2770138975016081,0.2466847297100827,7.053715507517072,5.713445203719607,0.1977756126738368,0.3239779259331038,4.6688580644259484e-05
5,val,0.06375042803875812,0.3530986091720048,0.27946974499954724,0.22317682892631507,7.084611848905335,5.750510189964282,0.12692676455417762,0.31015199384131986,4.6688580644259484e-05
6,train,0.06451132862838273,0.35928244265267895,0.2765011144047567,0.26150189398094514,7.016583268821173,5.6863336931593125,0.21509184259497893,0.3248427741715998,4.527840446883633e-05
7,train,0.06347593327158506,0.35650551329569574,0.2734238137223563,0.26318628300459534,6.968133603009665,5.624601567741174,0.2160457954009385,0.31991423774011357,4.365474899246162e-05
8,train,0.06369595347401202,0.35663128834483937,0.2740213566520312,0.2677303667539658,7.000656319822238,5.6565132120517,0.21845748669450238,0.3243897297128369,4.1824215970315096e-05
9,train,0.06255914747100516,0.3535659978649484,0.27049941185247556,0.2732731222311795,6.911331858281133,5.574339333590104,0.23027937862564685,0.3284616109841468,3.981209236962e-05
10,train,0.06194135003892826,0.3522153348760522,0.2694199960163091,0.2804538801283799,6.893109653791316,5.551261117852714,0.23598587289029382,0.32182994986727476,3.7640423437609695e-05
10,val,0.061020491959212664,0.3448534905463989,0.2581565065979906,0.25903207305986886,6.6525333427501065,5.293681413495365,0.2301738269325183,0.31015199384131986,3.7640423437609695e-05
11,train,0.06232738167149914,0.35246958947495266,0.2693774667927037,0.2889037521047805,6.866787347463221,5.5266621161183735,0.24575434564973353,0.323397384066762,3.533300243355415e-05
12,train,0.061302892940560565,0.35004126054098994,0.2674527874656814,0.29259325686017523,6.846573439648476,5.511043397031563,0.24738297531223075,0.32514235244174183,3.2915109944832615e-05
13,train,0.06142160736818084,0.35059319300188235,0.26828690320740767,0.29813937744631447,6.854612699749697,5.517241014018738,0.25257276395693185,0.3210617930618758,3.0413236907528214e-05
