epoch,phase,loss,rmse_tree_count,mae_tree_count,r2_tree_count,rmse_mean_height,mae_mean_height,r2_mean_height,rmse_tree_count_orig,mae_tree_count_orig,r2_tree_count_orig,rmse_mean_height_orig,mae_mean_height_orig,r2_mean_height_orig,support_ratio,lr
1,train,0.7627286616059923,0.4598052039192507,0.3563739416653093,-2.649938197232709,1.396719715170041,0.9584567504812809,-10.302532126747417,1.364798797442194,0.913826467338958,-3.241299232849629,15.571342656946074,11.951519477669336,-2.899771304602818,0.32457086228832754,9.973439107635601e-05
1,val,0.11318431181066177,0.24956958539865542,0.22366478991206964,-0.029385990694647646,0.4024058575134742,0.3129120177599433,-0.016630316975345005,0.7012979758277559,0.5723914781024291,-0.029864279683188055,7.715276218375319,6.345847525877008,-0.044078383196875626,0.30655183979109224,9.973439107635601e-05
2,train,0.10905975656411082,0.24397996795956836,0.22070227675253,-0.013414157859844345,0.39808724631266157,0.31276309483014847,0.07887483812263685,0.6777568887162722,0.5628739181281766,-0.02100324715861257,7.740075809576317,6.416717376367101,0.035999387367828595,0.3261592511049251,9.892938870734195e-05
2,val,0.10397039675245098,0.24547664042387435,0.21896564003352118,0.004101036768295763,0.38015585819038233,0.30146190293641384,0.09268551610914788,0.695010004317381,0.5611563120738635,-0.011479153717826263,7.490846594733672,6.164176664872747,0.015780529097701557,0.30655183979109224,9.892938870734195e-05
3,train,0.10597748117348582,0.2416287271265995,0.21912950993941682,-0.0011578738880053674,0.3921326396223842,0.30885509805935474,0.11429430358206216,0.6699644075933966,0.5582111307712385,-0.011241226024680362,7.659267260282069,6.343818834005681,0.061133327892447076,0.3259174110963173,9.759378382114932e-05
3,val,0.10244930491727941,0.2453604619142172,0.21800291989366202,0.005043486343471404,0.3762236213718951,0.2990896816963057,0.11135850644260736,0.6958524296273884,0.5589167194049043,-0.013932678269015453,7.432500115789796,6.1219714287735085,0.03105306052961565,0.30655183979109224,9.759378382114932e-05
4,train,0.10370407891027707,0.24050805370884032,0.21867749624203958,0.004455426876206259,0.3865028416586134,0.3037618455501802,0.1335374653511986,0.6663957052223979,0.5566999386036927,-0.005970113967263657,7.561347635771769,6.249112941970006,0.08136025231550248,0.32821525495076914,9.574220958440412e-05
4,val,0.10242895986519608,0.2453341866523898,0.22368305308900568,0.005256571556197964,0.375192603934998,0.2829526759220222,0.11622236624189997,0.6870781164889723,0.5724041908000748,0.011476365611397754,7.153731892651706,5.7851484654017185,0.10237391375364946,0.30655183979109224,9.574220958440412e-05
5,train,0.10365688677915592,0.24019174510598068,0.2183277770179264,0.00832700891340099,0.38700904778164913,0.3040421028195288,0.13957554606741462,0.6666482540122967,0.5559333583968351,-0.0031210970027211182,7.551248577583176,6.234756161884611,0.09152603051153407,0.3245317714730489,9.339495223191117e-05
5,val,0.10045070274203431,0.24444152018874027,0.21895796203307102,0.012482296035138729,0.371129096676714,0.28677105977508893,0.13526213101604156,0.6917482917317358,0.5612080209844478,-0.002007598698158697,7.209061075202479,5.8630676462720475,0.08843518071773393,0.30655183979109224,9.339495223191117e-05
6,train,0.10300217461340207,0.23946568103865035,0.21766155279851518,0.0068569152641794195,0.3858210138696614,0.3038896195418015,0.15053656430586138,0.6624651115119773,0.5535830858266191,-0.0037420907657670366,7.567092915998641,6.249246951990196,0.09350760535026414,0.3192174065973341,9.057772880641966e-05
6,val,0.10072117225796569,0.2445480117134518,0.2181234606881935,0.011621679778226146,0.37220251627276274,0.29382372223790704,0.13025272086288786,0.6930721862081426,0.5592643158856688,-0.005846630162424704,7.349577198929443,6.0105703004930255,0.052553145965133385,0.30655183979109224,9.057772880641966e-05
7,train,0.10413761728817654,0.23924058752650865,0.21762100530112413,0.007156085534479217,0.38844197618997456,0.30460828990704,0.14919269636932653,0.6613333284751179,0.5533085857352348,-0.002796725403496847,7.5329516972668795,6.20789081932994,0.09973888202281433,0.3191209576793553,8.732140539732105e-05
7,val,0.10012637867647059,0.24434267171165674,0.21992320120039613,0.013280809185537423,0.37043925921430365,0.28773572039549206,0.1384738122491891,0.6899248227684294,0.5635173119442967,0.003268082051572252,7.2365150744818205,5.882924750324022,0.08147900359203197,0.30655183979109224,8.732140539732105e-05
8,train,0.10252207333279639,0.24047669802046764,0.21819086549620734,0.010169819134280944,0.38374198567908463,0.3010894267690038,0.15522871945326344,0.6690863883778077,0.5560220793116454,-0.0023802898309419618,7.470902292844213,6.153591688720924,0.10544582139600278,0.31816899407770216,8.366165896531508e-05
8,val,0.10045189950980392,0.24485747902618496,0.21985599433270636,0.009118577706854869,0.3708230487597857,0.2821744336540992,0.13668773792674327,0.6912210406626453,0.5633934202596642,-0.00048071892126966276,7.144272194695238,5.770385613638046,0.10474628598898794,0.30655183979109224,8.366165896531508e-05
9,train,0.10214862626852449,0.24033588905932096,0.21835555707915136,0.009693033453262556,0.38237027950975133,0.29971703054981425,0.15443049735969516,0.6678198699302279,0.5563267415729184,-0.0026955088054685383,7.495718130869788,6.164994948897768,0.10009231869833035,0.32459229538121176,7.963858645816168e-05
9,val,0.10023887484681372,0.24446379643615543,0.22184573094210902,0.012302300500468877,0.37025397900799933,0.2799757201256909,0.13933540467949845,0.687799846485871,0.5680479218124203,0.009398517818214436,7.095868273777353,5.723264791608916,0.1168362487186213,0.30655183979109224,7.963858645816168e-05
10,train,0.1015344993355348,0.23967581654769424,0.21820131614400246,0.009190387188319438,0.38158177672248905,0.3000209862684332,0.1590698482866827,0.6640311301925786,0.5553691914555389,-0.002606510141319962,7.4960733393818115,6.182728452991506,0.10224014634096124,0.3277044591215468,7.529626550013149e-05
10,val,0.09945977902879902,0.24420315645253876,0.22001890638084595,0.014407285222243438,0.3685358004717757,0.28151202730999214,0.14730476819569882,0.689971936768482,0.5636971188435832,0.003131946549551956,7.10780590462549,5.753755583171116,0.11386219374268602,0.30655183979109224,7.529626550013149e-05
11,train,0.10231222565641108,0.2415423358561508,0.21907401687690384,0.011649198211563627,0.38195217447213764,0.29965416399788275,0.16203259410426152,0.6747233170649248,0.5593048972525712,-0.0022306458508605242,7.485173038536634,6.15974438695479,0.10889849968157994,0.31932429677432345,7.068227146832973e-05
11,val,0.09927906709558823,0.2442362571948796,0.2208436190777651,0.014140080964986534,0.3682429850410005,0.2861402455046164,0.14865922619052852,0.6888146473036132,0.5656542404370897,0.0064732342571204304,7.191762743122342,5.851911717680789,0.09280457980185342,0.30655183979109224,7.068227146832973e-05
12,train,0.10169935718025129,0.24115562051596107,0.21896762848320672,0.010989906462572696,0.38138399142044493,0.29860327106509155,0.15872597962218726,0.6725331652644281,0.5586109514379749,-0.0013383556255237572,7.451687523245184,6.130021358603085,0.10741403035779484,0.3252714294748208,6.584715624690903e-05
12,val,0.09951961741727941,0.2441606144414203,0.21898348134073567,0.014750650514148589,0.36881447790666966,0.28140537108201524,0.14601470756457802,0.6913243446682059,0.5612567348902322,-0.0007797879103463856,7.120669043187204,5.752023353474514,0.11065196892827234,0.30655183979109224,6.584715624690903e-05
13,train,0.10213950245650773,0.24131795085064026,0.21921252444696987,0.008063924846146153,0.382099586227741,0.29911626716548473,0.1621387068620812,0.6718811593979266,0.5591370634039813,-0.004199556986239195,7.465532520669735,6.140319579399635,0.10897456255981497,0.3207673534904559,6.084389437004851e-05
