epoch,phase,loss,rmse_tree_count,mae_tree_count,r2_tree_count,rmse_mean_height,mae_mean_height,r2_mean_height,rmse_tree_count_orig,mae_tree_count_orig,r2_tree_count_orig,rmse_mean_height_orig,mae_mean_height_orig,r2_mean_height_orig,support_ratio,lr
1,train,0.10072814312177836,0.23937364816937443,0.21837279924116007,0.010785613383150094,0.37850892186248947,0.29545542945561515,0.16994004047287048,0.6631431390760854,0.55562966707206,-0.001327660335211922,7.402869000641463,6.0681475912965706,0.11857138714106397,0.32457086228832754,4.880100318581091e-05
1,val,0.09891883999693628,0.24396242084683795,0.21998480046993732,0.016349523099215668,0.3670493939317093,0.28309946850388396,0.1541692072885562,0.6896900505914376,0.5635966577029805,0.003946315679823509,7.144744942663577,5.7801066973799315,0.10462780131600902,0.30655183979109224,4.880100318581091e-05
2,train,0.10000987888611469,0.2410387763810972,0.21940805203607736,0.010872092300048042,0.376957681284212,0.29397704605431924,0.1740622574657057,0.6713138801265893,0.5596546150034704,-0.0016834445444082746,7.379096443715643,6.051456344853446,0.12382016408461038,0.3261592511049251,4.5296702542301516e-05
2,val,0.10060269224877451,0.24421403807357614,0.21824045940075953,0.014319447820604347,0.37051993304972236,0.2882719639900194,0.138098527026303,0.6918089753578589,0.5595704734390129,-0.002183408663425812,7.266077354425304,5.872444376726094,0.07395907505741295,0.30655183979109224,4.5296702542301516e-05
3,train,0.09969557929284793,0.24018274995073993,0.218638692500667,0.01078871761903022,0.3769542796342356,0.29391088180106706,0.1815336875613104,0.6671088692700358,0.5570988410031105,-0.002639323707543495,7.372135248242942,6.04222685860837,0.1302066896750944,0.3259174110963173,3.983009098036207e-05
3,val,0.09972785500919118,0.24420976846550033,0.21772705555924232,0.014353912938911972,0.36838380295303225,0.288372641443489,0.14800798797454073,0.6931469673341184,0.5583445629450755,-0.006063699619301088,7.2608390064898565,5.884562772462959,0.07529381889162201,0.30655183979109224,3.983009098036207e-05
4,train,0.09728343216414304,0.23955589263309143,0.2184524858686554,0.012322459952062714,0.3702173436934676,0.28765172965992647,0.20501684383854868,0.6645319109337656,0.55623030175651,-0.0003509317851613236,7.240529828540504,5.922763421347077,0.15765982268832723,0.32821525495076914,3.293627852779765e-05
4,val,0.09705786611519608,0.2443206275274574,0.22286506899467926,0.013458841440442293,0.36273870423708066,0.27123784974810755,0.17391970329026385,0.6864890787304134,0.570500764533541,0.013170578063077643,6.940926972427321,5.54188886572397,0.1549836809538777,0.30655183979109224,3.293627852779765e-05
5,train,0.09623576685325387,0.23968346745459604,0.21814295545427645,0.012519591845811306,0.36797838738943967,0.28501607785332866,0.2221154751265214,0.6658103957914286,0.5556048127656691,-0.0006011921205404391,7.186943839727903,5.852009979975302,0.17706893572794358,0.3245317714730489,2.529007957948081e-05
5,val,0.0949850643382353,0.24452753810198544,0.22004695380478984,0.011787167336278936,0.35777213356378545,0.26882630656887696,0.19638600602130962,0.6914597862100602,0.56390151864256,-0.001171963989517355,6.928000357785807,5.499181935090559,0.15812822600191256,0.30655183979109224,2.529007957948081e-05
6,train,0.0943115863603415,0.23897737700163127,0.2175237103014076,0.010903101165746554,0.3629070927175374,0.28057673760602336,0.24843967360129016,0.661555017736853,0.5533742757354759,-0.0009861057921787264,7.111922629337065,5.778831140090633,0.19928110299789725,0.3192174065973341,1.763995736267353e-05
6,val,0.09668567133884803,0.24498071851238232,0.21698641477525887,0.008120883464886153,0.36286735815196847,0.2901110344731431,0.17333362129771568,0.6965813897653548,0.5567194681428553,-0.01605813940095424,7.346248924371713,5.9587859404519765,0.05341105905850008,0.30655183979109224,1.763995736267353e-05
7,train,0.09366002033666238,0.2385678102313967,0.2170619145640235,0.012732260117929828,0.3614532030464616,0.27896018812455853,0.2633129173873414,0.6603391652212446,0.5521048409699303,0.00021595904573434854,7.022715916970686,5.698304574856144,0.21756489118740174,0.3191209576793553,1.0734759141492607e-05
7,val,0.09107043696384803,0.24379882262475575,0.2193818122042078,0.017668328773922548,0.347491510508584,0.2641125511276385,0.24190633600763023,0.689727222401809,0.5623393304727782,0.0038389453722432743,6.783341019328975,5.417522587079152,0.1929183970894982,0.30655183979109224,1.0734759141492607e-05
