epoch,phase,loss,rmse_tree_count,mae_tree_count,r2_tree_count,rmse_mean_height,mae_mean_height,r2_mean_height,rmse_tree_count_orig,mae_tree_count_orig,r2_tree_count_orig,rmse_mean_height_orig,mae_mean_height_orig,r2_mean_height_orig,support_ratio,lr
1,train,1.1659647623697917,0.38450233326283534,0.30177667520228013,-1.5519329848100183,1.9498405389810618,1.453593776432514,-20.989386436982837,0.9339280352209901,0.7059173708423034,-0.9846532642009094,16.56399950467859,13.96356637654425,-3.4068005587315477,0.32350971301396686,5.998534484286222e-05
1,val,1.1174665178571428,0.3924179969600666,0.29558717494701625,-1.5450292128256047,1.8419760465434591,1.515753544307232,-20.301119342663604,0.9688061170154209,0.6836578312104644,-0.9653892165279807,18.287080200010784,16.88761036859377,-4.865687003945606,0.3070880344935826,5.998534484286222e-05
2,train,0.2748057047526042,0.2686968277141521,0.2250547354895645,-0.2292329180609216,0.9855946307373221,0.521579020024119,-4.643189996590099,0.727182554568344,0.5677841423019818,-0.17532346364172668,9.743850211093893,7.96839126022231,-0.5272295952726951,0.3260786135991414,5.994139383431967e-05
2,val,0.23556082589285715,0.27714366445081207,0.21447082544804894,-0.2694185734742458,0.7790175867265676,0.49417473016753705,-2.810035248070445,0.7715577628293788,0.5463647573902519,-0.24655577395951433,9.775594156791609,8.185876855616472,-0.6761638588619223,0.3070880344935826,5.994139383431967e-05
3,train,0.16758219401041666,0.2524582870968859,0.22108555983425493,-0.09210178462920893,0.6848236704048093,0.3823481631003204,-1.7005242298614895,0.6897228732036638,0.5611980446646505,-0.07042915843997011,8.323915685201108,6.783496591788779,-0.10887956642201702,0.32627834876378375,5.986819034871148e-05
3,val,0.12562779017857142,0.2580600280721568,0.21441124022197608,-0.10061751235408778,0.507412453112037,0.3050904653582177,-0.6164292938779725,0.7296038930255146,0.5498750846872774,-0.11467717849229841,7.345114397014349,5.785604587257159,0.053703411831666936,0.3070880344935826,5.986819034871148e-05
4,train,0.1491241455078125,0.25316543445959483,0.21877384800617836,-0.10442827219343598,0.5884567546050852,0.373858492630249,-1.0094825487143932,0.6918191309086321,0.5563474834176799,-0.08644865453658879,8.755037328101285,7.136986919203485,-0.232461330632191,0.32794100046157837,5.9765806629040005e-05
4,val,0.14820207868303573,0.2582897344175965,0.21208476017891523,-0.10257776438446298,0.6221468202979292,0.3750220375870228,-1.430078151697983,0.7324358175953811,0.5444301545717137,-0.1233471101585184,8.405934688972952,6.950720584050444,-0.23937339390903545,0.3070880344935826,5.9765806629040005e-05
5,train,0.12970479329427084,0.246543259187055,0.21939470057716715,-0.0454193473288913,0.553788257799441,0.3283786138171653,-0.7610010448228319,0.6761778970629,0.5581746881849966,-0.03288314944995485,7.808074918436048,6.282501584261511,0.02893489466768373,0.32439446449279785,5.963434371567559e-05
5,val,0.09940011160714286,0.24850318823483653,0.21740509201523367,-0.02060776541578102,0.3812465855976629,0.2808406494592284,0.08747158892695694,0.7030710871733593,0.557495726017052,-0.035078532529266626,6.990656861174324,5.608332226480344,0.14283167072759329,0.3070880344935826,5.963434371567559e-05
