epoch,phase,loss,rmse_tree_count,mae_tree_count,r2_tree_count,rmse_mean_height,mae_mean_height,r2_mean_height,rmse_tree_count_orig,rmse_mean_height_orig,support_ratio,lr
1,train,1.5057083601804124,0.5830786930508944,0.4190446806348136,-4.869378134207033,2.072223581141018,1.8115112845152999,-23.878858290168935,1.0917285828911816,19.385850500493767,0.32457086228832754,9.998914383200483e-05
1,val,0.8362943209134616,0.37000491593759877,0.2923602095400352,-1.2626111699742286,1.4670388815879436,1.1648979022333552,-12.51194029933253,0.8792517188644297,15.458987113431395,0.30473804473876953,9.998914383200483e-05
2,train,0.4292029941204897,0.32438671311944567,0.2637974986065965,-0.7914502081252446,1.038969135058466,0.7402812211806777,-5.274330763979243,0.8042966484401617,12.302255288163137,0.3261592511049251,9.995658008989344e-05
2,val,0.3087627704326923,0.30686642689538457,0.2503337065982279,-0.5563013400423753,0.9347065314848291,0.5169105936725608,-4.48510599011366,0.9717118799922775,9.322840491239003,0.30473804473876953,9.995658008989344e-05
3,train,0.1776928459246134,0.2736263722240242,0.23342261439891412,-0.28387085548260416,0.589684157396288,0.3991349583121139,-1.00291432354555,0.9229622728993216,8.604547582755943,0.3259174110963173,9.990232305719931e-05
3,val,0.16664006159855768,0.28174931616006466,0.23334531840885098,-0.3119602583235712,0.6789738751666557,0.3310235541406093,-1.8942803605326106,1020.2733409832473,7.314659861529061,0.30473804473876953,9.990232305719931e-05
4,train,0.11139859858247422,0.2540518092895431,0.2225000892150317,-0.11082602479164172,0.4172864042833757,0.3015283685272088,-0.009980238516744677,0.6982354370084701,7.278351764473825,0.32821525495076914,9.982639653285033e-05
4,val,0.11318500225360577,0.2566713142354069,0.22629100748605344,-0.08880374770715904,0.4069699705247557,0.28865603237523674,-0.039822471103570845,1.9498551809206466,6.8589616783007825,0.30473804473876953,9.982639653285033e-05
5,train,0.09774371274967783,0.24830534830907477,0.22016528984642522,-0.05980137368265659,0.37371719010418974,0.2777578073571354,0.19766330027716617,0.6840764892042406,6.952181038751555,0.3245317714730489,9.972883382072937e-05
5,val,0.0918743426983173,0.2517471243217437,0.22438762992770564,-0.04742750743709334,0.3477964300175711,0.2509913878783643,0.2405753166316169,0.7034074417272254,6.38529496822867,0.30473804473876953,9.972883382072937e-05
6,train,0.08914404800257732,0.24388417232991091,0.21822926180578045,-0.03013108522124952,0.34885686960553797,0.2619306277413818,0.30550760754964557,0.6710822494693486,6.679795244460698,0.3192174065973341,9.96096777150665e-05
6,val,0.08509239783653846,0.24784927631751172,0.2222819603473388,-0.015243572684323858,0.3294180005420264,0.24460747701776986,0.3187145361434306,0.6947280987409092,6.305067014938142,0.30473804473876953,9.96096777150665e-05
7,train,0.08704682969555412,0.24263733111948318,0.21756317556780672,-0.021236899162770273,0.342026252830143,0.2570699017178363,0.3403739715699192,0.6677248555143676,6.548477985648732,0.3191209576793553,9.946898048166773e-05
7,val,0.08237868088942307,0.24599575068836765,0.21941282912604915,-0.00011547853377558148,0.32232358134073313,0.24392025053300706,0.3477431799442281,0.6946330786907255,6.278086141671715,0.30473804473876953,9.946898048166773e-05
8,train,0.08421530182828608,0.24281007454637132,0.21777022053727502,-0.009132274808905327,0.3327887515694184,0.2501745714903318,0.36467231452970117,0.6728659238531932,6.4381930055389605,0.31816899407770216,9.930680383498977e-05
8,val,0.08745398888221154,0.24681648261243302,0.21859515814237607,-0.006800114247533573,0.3385434628518733,0.26673257606356165,0.2804460967073674,0.7261983435897534,265.78393758567336,0.30473804473876953,9.930680383498977e-05
9,train,0.0826636245570232,0.24164850630284762,0.21775818443340686,-0.0011538172017873105,0.32860045643367186,0.2465174787229409,0.37552166150920907,0.6689540448009583,6.399059248743954,0.32459229538121176,9.912321891106978e-05
9,val,0.0809772198016827,0.2453876296912288,0.21997176100693894,0.004823139079759398,0.318457223072586,0.23862148846331846,0.3632973218541108,0.6917864288392459,6.168059609834601,0.30473804473876953,9.912321891106978e-05
10,train,0.08088857119845361,0.24073899674583304,0.21738724342160234,0.00038060746626999986,0.3235328500943291,0.24309188113597674,0.3954650135880663,0.6644602855958297,6.334276816959059,0.3277044591215468,9.89183062363231e-05
10,val,0.08123779296875,0.24525537385288293,0.2195564804630538,0.00589558500005416,0.31868992678163377,0.23614341099288647,0.3623664765346254,0.6943769957214655,14.586594910794409,0.30473804473876953,9.89183062363231e-05
11,train,0.07996171774323453,0.2419002378521846,0.21734462457819975,0.00871807814304204,0.319262772577944,0.23944919398647121,0.41452856008326344,0.6744531933205442,6.243395603259911,0.31932429677432345,9.869215569222109e-05
11,val,0.081512451171875,0.24597984291653233,0.21979236245952052,1.3865931604795101e-05,0.32435717235869177,0.23297700764451373,0.33948683137383795,41.988578129159485,1511698716021.308,0.30473804473876953,9.869215569222109e-05
12,train,0.07974840931056701,0.24135982338195464,0.21712933417614438,0.009314273099798376,0.3188878033210038,0.23923326819273819,0.4118496279590049,0.6718406479514181,6.220708553914159,0.3252714294748208,9.84448664758669e-05
12,val,0.08008986253004807,0.24476480565161915,0.2194946981106673,0.009868491068900531,0.31636415662210354,0.23297833447408078,0.3716392996632135,0.7032181857140734,235.0860231844341,0.30473804473876953,9.84448664758669e-05
13,train,0.07917644068137887,0.241201024130626,0.217306783067158,0.009024945211813407,0.3173163461101364,0.2375034897219359,0.4221649488031902,0.6704575104999879,6.200023620831988,0.3207673534904559,9.817654705648375e-05
13,val,0.07859215369591346,0.2441426818127678,0.21948836993872387,0.014895370512730599,0.3116959651933424,0.22729355000389884,0.3900463561502593,0.6878628866676241,6.220271491620953,0.30473804473876953,9.817654705648375e-05
14,train,0.07785191486791238,0.24004214225255516,0.21654095026306974,0.013866193770893931,0.3137018839680285,0.23462715613168442,0.430876804339382,0.666744664840736,6.124182554358062,0.3203829539190863,9.788731512783693e-05
14,val,0.0786273662860577,0.24427248736499663,0.2207324825541342,0.013847573028652693,0.3112708422397171,0.2266181953032518,0.39170905628112307,0.6868066034104474,5.954205019852447,0.30473804473876953,9.788731512783693e-05
15,train,0.07745172559600516,0.23880017514782534,0.21630430277081392,0.01248342476985198,0.31361750414968054,0.23387487910980978,0.4336275059588124,0.6591479461079521,6.116186600515551,0.3206058974118577,9.757729755660966e-05
15,val,0.07838792067307693,0.2441354517832768,0.22030672647916455,0.014953715329865891,0.3113756724162338,0.22489440875775774,0.39129926534567605,0.6937939429887771,315.7351100347487,0.30473804473876953,9.757729755660966e-05
16,train,0.0768810154236469,0.23920153764760022,0.21611434714604758,0.01600448416453093,0.3113536227546969,0.23199427445322754,0.44077967182760636,0.6626843876782507,6.0606098500185075,0.3244873125528552,9.724663032675485e-05
16,val,0.07789024939903846,0.2441892476299678,0.217123527814887,0.01451955276216832,0.30968092332417574,0.23330623302433767,0.397907280913225,0.9602133929852648,90.3441512933493,0.30473804473876953,9.724663032675485e-05
17,train,0.07638895880315721,0.23912829152919882,0.21597082751141408,0.01596269053734256,0.3096308223055714,0.23039559279659785,0.4506981294875797,0.6624680510107788,6.055971350792084,0.32321552394591657,9.689545847984815e-05
17,val,0.07643949068509616,0.24372051091524596,0.21929375365210704,0.018299305711760305,0.30541667934197364,0.22612183994427765,0.4143745108117397,0.7020790288009426,5.9851614018742945,0.30473804473876953,9.689545847984815e-05
18,train,0.07539855327802836,0.24045025570303952,0.2168471033309619,0.019634737965956606,0.3056854909655776,0.22776825374384843,0.4551518760412011,0.6701466125818982,5.985586458537802,0.3290745056781572,9.652393605146801e-05
18,val,0.07761324368990384,0.24533793811808177,0.2206026840834257,0.005226149588295148,0.30863577674133696,0.22609240868934766,0.4019644457285988,15.277447474279171,111.90962105844594,0.30473804473876953,9.652393605146801e-05
19,train,0.07585600233569588,0.23948072174570287,0.21617818014298,0.020112661238653295,0.3075821357876336,0.22890458282905135,0.453157246925592,0.6654247524561667,6.023510955176217,0.3227896936161002,9.613222600363033e-05
19,val,0.07765667255108173,0.24351424993682835,0.21911929736372854,0.01996023168509309,0.3096182091047919,0.2277941174936831,0.3981511186740927,0.6860028851564831,6.005078184905994,0.30473804473876953,9.613222600363033e-05
20,train,0.07478316788820877,0.23800093173007159,0.21523820989339434,0.019159297774271167,0.30536971633346294,0.22616737531486913,0.4657690019256997,0.6575244020825013,5.948012898917799,0.32265153865224305,9.572050015330827e-05
20,val,0.07632094163161057,0.24334285291417249,0.21858294769088968,0.021339344272264693,0.3055925353915997,0.22223895724811138,0.4136999213660433,0.6970742715303336,6.465229125055362,0.30473804473876953,9.572050015330827e-05
21,train,0.07528843830541238,0.23912566855761733,0.21561822189078966,0.023029049024432924,0.30611107362126067,0.2287176050255534,0.46102918134521687,0.6649837174885538,6.010312295970446,0.32317861576670226,9.52889390970676e-05
21,val,0.07535963792067307,0.24334545454878348,0.2180083897725195,0.021318417986455174,0.30161249708060667,0.22497203205225302,0.4288724191917458,0.6986065614840666,7.298220034779938,0.30473804473876953,9.52889390970676e-05
22,train,0.07446100293975516,0.23793428603962258,0.2152260013436867,0.020091470638561093,0.30416471639219383,0.2258643835479024,0.4699160641869278,0.6572639235601223,5.936594300765327,0.3275874816265303,9.483773213185064e-05
22,val,0.07567420372596154,0.24311355766180878,0.21792344952968726,0.023182805177967447,0.30270755338751226,0.22155714427162174,0.42471773589788564,0.6869255647953604,5.820565892450637,0.30473804473876953,9.483773213185064e-05
23,train,0.07362098300579897,0.23723981846519487,0.21499238182697133,0.022299654727576335,0.3017952743409948,0.22290955116778435,0.4768765443828066,0.6542107552796586,5.875880019845243,0.32650705711128786,9.436707717194483e-05
23,val,0.07578805776742789,0.2435700658603549,0.21751407457225583,0.01951091018640816,0.3038346244792573,0.2277216458942453,0.42042586365124135,0.7126114530704049,49.27257378830542,0.30473804473876953,9.436707717194483e-05
24,train,0.07309180190882732,0.23680435892495708,0.214429505096644,0.02402622440834057,0.3006244854617003,0.2230979450146953,0.4763314202866097,0.6530369635573732,5.8775963055938165,0.32534731048898596,9.387718066217094e-05
24,val,0.07511549729567307,0.24388579557333345,0.21815330400360966,0.01696732849586491,0.30182205549971397,0.2204090249583137,0.42807851196214797,22.718284638687454,452.2839883697785,0.30473804473876953,9.387718066217094e-05
25,train,0.07367257973582474,0.23875493109941986,0.21508906587940652,0.030645669239838136,0.30092785029401986,0.2225217084353633,0.48668713224038385,0.6652363384256023,5.8533057847901375,0.32223339670712187,9.336825748732938e-05
25,val,0.07647939828725961,0.24564287815277727,0.21849960566348348,0.0027517267960409653,0.312127779064436,0.2230325198691309,0.388355163980618,307.99728996524414,53606.882492392215,0.30473804473876953,9.336825748732938e-05
26,train,0.07294393323131443,0.2360136754609143,0.21356956902987762,0.02683206908082536,0.3007170529137411,0.22313870527491553,0.4813020804113687,0.649801002451445,5.877687205883868,0.32195502212367105,9.284053087794471e-05
26,val,0.07548757699819711,0.24435633792457295,0.21824692417296637,0.013170430662134414,0.303030248998794,0.2258775432295726,0.42349054477330816,5.614559055848706,762.9040315420865,0.30473804473876953,9.284053087794471e-05
27,train,0.07334538096005154,0.23832449241952547,0.21510969594096296,0.03150323644975961,0.30013573028981494,0.22219434151081482,0.4808087134871527,0.6626178037557057,5.862430355499838,0.3240664570601945,9.22942323123494e-05
27,val,0.0765545184795673,0.24363817432793758,0.21977808010066469,0.018962493485014997,0.30635481522546787,0.22084395873132395,0.41077130180627797,32.82347181852697,427.2185131878758,0.30473804473876953,9.22942323123494e-05
28,train,0.07297036082474227,0.2374442127641667,0.21455584107259676,0.029961967596130012,0.29982300032213083,0.22168541035323097,0.4898755861765193,0.6578727864646803,5.856510529491371,0.32905503892406973,9.172960141514954e-05
28,val,0.0743854229266827,0.24324841585343776,0.21848864968929094,0.022098798688422905,0.29860856964128885,0.21869453772938108,0.44019212503734406,0.6853989144448833,5.742740148732476,0.30473804473876953,9.172960141514954e-05
29,train,0.07273943399645619,0.23766157692531104,0.21476097576879638,0.031413076702631715,0.2986784553317285,0.220319333121665,0.48010228862509974,0.6583984804139005,5.8254998185812505,0.3293927969391813,9.114688585211787e-05
29,val,0.07439481295072116,0.24338820935563335,0.2181604387308853,0.020974487026769406,0.2986892070160481,0.22169047326705943,0.439889738990339,0.6890286354330417,5.833771200647212,0.30473804473876953,9.114688585211787e-05
30,train,0.07201833823292526,0.23621666726248,0.21345487235899102,0.03553184529305198,0.2972629099502983,0.21983589001411366,0.4947423552194167,0.6528312960063828,5.802010376633037,0.3226688227702662,9.054634122155952e-05
30,val,0.0749065692608173,0.2434186349647799,0.2174793126961026,0.020729698591668066,0.30139519912304163,0.22652243346641068,0.42969506515034217,50.98690825019181,2033.4744799592154,0.30473804473876953,9.054634122155952e-05
31,train,0.07203784431378867,0.23643349498295288,0.21336420229472308,0.03770472834244587,0.29729799622495273,0.21941959970536032,0.49525518259704215,0.6547092556730806,5.76259048362915,0.3192297945317534,8.99282309421973e-05
31,val,0.0746013934795673,0.24509259453255583,0.2156490448437766,0.007214748266657134,0.3000154503439027,0.2210555238920093,0.43490467981825276,106.08466925692719,67298.81793975102,0.30473804473876953,8.99282309421973e-05
32,train,0.07156214763208762,0.23598458055348215,0.21353130624876912,0.039777816647228015,0.29587693110962365,0.2178657632468765,0.49635469760947726,0.6520168921612711,5.760826819014017,0.32466420439100757,8.929282613762871e-05
32,val,0.07542184682992789,0.24563888648185886,0.21800568927780598,0.0027841368916857734,0.30140622193462524,0.2266759027558099,0.42965334929810073,5.021971865569107,1527.5529522472127,0.30473804473876953,8.929282613762871e-05
33,train,0.07174210695876289,0.23771881308274792,0.21440853517915093,0.050445660754294686,0.29522919851062746,0.21759460059704683,0.49860707194756293,0.6634436313300437,5.76098024929884,0.32516137349236873,8.864040551740125e-05
33,val,0.07430443396935096,0.2449147953250127,0.21819825553615088,0.008654631879546959,0.29747951334588846,0.22046201174753155,0.4444174537924108,0.690685405378548,6.173390510049746,0.30473804473876953,8.864040551740125e-05
34,train,0.07114937379188144,0.23666164845058435,0.2137811124253982,0.039386928977815705,0.2941052110973356,0.21697625502441226,0.503028943894128,0.6561375931045917,5.759909087503781,0.32539483689770254,8.797125525476161e-05
34,val,0.07518357496995193,0.24642556761413334,0.2203167433280297,-0.0036134422352374074,0.3007858460634261,0.22242594786941672,0.43199878967848315,4108.122398834823,18777.47942779807,0.30473804473876953,8.797125525476161e-05
35,train,0.07206364267880154,0.2362947567221923,0.21310296098024648,0.04848441071381149,0.29717385877101016,0.21945392364858463,0.49617487781587444,0.6561421163740719,5.783473133627426,0.3199457581510249,8.728566886113072e-05
35,val,0.07401686448317307,0.24381711167555833,0.2183500836467552,0.017520940139957086,0.29766984525686574,0.22007050521657526,0.4437062860538852,0.7817431253783704,86.81851568574797,0.30473804473876953,8.728566886113072e-05
36,train,0.07080141047841494,0.2344060145696231,0.21227686962122377,0.03729564662764506,0.29481653731431595,0.21759371395287316,0.5090870491317873,0.6433057455133595,5.766787826264399,0.3273557682627255,8.658394705735953e-05
36,val,0.07440185546875,0.2434956422843629,0.21784796750982993,0.020110001504912822,0.299208000653922,0.21665900388108597,0.43794233688215656,0.6887570868566641,5.7250098135440775,0.30473804473876953,8.658394705735953e-05
37,train,0.07058778743153994,0.23510361600927127,0.2132962466934417,0.04600414625609306,0.2935557390507141,0.2159233282786135,0.49950531666914744,0.6487815046350195,5.7248597058950255,0.3282042041267316,8.586639764182346e-05
37,val,0.07565072866586539,0.24812762407348282,0.21771178939329977,-0.017525196875937343,0.30589758017023067,0.21721376651285876,0.41252883882588454,155585.63094535578,61719271.701997526,0.30473804473876953,8.586639764182346e-05
38,train,0.07023132953447164,0.23477719002821779,0.21265043272364706,0.04259862991534946,0.29258045002885047,0.21550334794658912,0.5062380583960443,0.6465452538376566,6.220841619419199,0.3247237254663841,8.513333535541133e-05
38,val,0.07391357421875,0.24266836768019848,0.21695202819316753,0.026757028405360317,0.3024125062821002,0.22001953691651174,0.4258386372096268,83.7713387720407,15041127.716796538,0.30473804473876953,8.513333535541133e-05
39,train,0.07023825104703608,0.236190074879428,0.21324804001332154,0.04855102310928794,0.2915521839515794,0.2141672095623997,0.5071412890494845,0.6550653387202445,5.661851966349733,0.3213341703119966,8.438508174346975e-05
39,val,0.0739276592548077,0.24487439474540063,0.2174481907718126,0.008981664993739646,0.29959042463101965,0.21839399573016263,0.4365046634989046,301.2630536518898,42871.23123039862,0.30473804473876953,8.438508174346975e-05
40,train,0.07005074097938144,0.23575625406070247,0.21330850937958976,0.04986673395388508,0.29115164019988077,0.21408849225469884,0.5045852978373562,0.6526283354720753,5.686831580670001,0.3246270995779136,8.362196501476317e-05
40,val,0.07331613393930289,0.24325463114209908,0.2186840371772711,0.02204882495374183,0.29619406598453113,0.21569843682650527,0.44920856760786076,0.7906551569763257,10.987013750409393,0.30473804473876953,8.362196501476317e-05
41,train,0.06962978716978092,0.23452975587065786,0.21229715653961478,0.051494206186098346,0.2902104569762737,0.21343376560328528,0.5120014841284075,0.6465843885004273,5.659680136723303,0.32417702429073375,8.28443198975099e-05
41,val,0.07367999737079327,0.24452675275728325,0.21752658690525856,0.011793514976894737,0.2970771685054503,0.21852521146603854,0.44591930244678923,53.58709165433471,166492.63971467008,0.30473804473876953,8.28443198975099e-05
42,train,0.06926829544539304,0.23402397806452657,0.2120355334192341,0.04833626615343822,0.28955099960207265,0.2123774571533289,0.5173327739152074,0.6438533213783795,5.632626625572451,0.32236582962508054,8.205248749255982e-05
42,val,0.0735461895282452,0.24574595526611384,0.21817765617631502,0.0019146169132107094,0.2940052021235407,0.2178737584466647,0.45731914712726607,0.6916682868260376,5.767550150665746,0.30473804473876953,8.205248749255982e-05
43,train,0.06929755456668814,0.23450100791802528,0.21247022797140658,0.0630343614812241,0.28932749232995286,0.21222700356956098,0.5146890837899072,0.6485163944791175,5.639056201321653,0.32453831938124195,8.124681512377611e-05
