epoch,phase,loss,rmse_mean_height,mae_mean_height,r2_mean_height,rmse_mean_height_orig,mae_mean_height_orig,r2_mean_height_orig,support_ratio,lr
1,train,0.07305331410411298,0.3814876988881389,0.2984928649149533,0.16251963972523198,7.470232479336398,6.125124173850578,0.10841296853596227,0.3259251125899377,4.986627251668522e-05
2,train,0.07124438728253867,0.37721260851559874,0.29447065074786766,0.18538161570978962,7.378202338498914,6.043734632288738,0.1326706695192592,0.32418047193809063,4.946285041066309e-05
3,train,0.06837248392531142,0.36984575995585645,0.2865667489679467,0.20799320233573082,7.2188557275636,5.8833473695904965,0.16043765438564617,0.3270054715605536,4.879414724867704e-05
4,train,0.06667136490549828,0.36507053738065953,0.28162537966679313,0.23812593184039332,7.113226861697634,5.777139032175852,0.19400416121304442,0.3206367099408022,4.78674894825049e-05
5,train,0.06429623738187286,0.3584065768733193,0.27571856667523215,0.2531482060451602,7.034497589406087,5.689321400968562,0.20214099445550415,0.3239779259331038,4.669302976854845e-05
5,val,0.06231610186688312,0.34867456899482424,0.2718833159131899,0.2425208156391302,6.911711880778489,5.592463769290615,0.16902146707943422,0.31015199384131986,4.669302976854845e-05
6,train,0.06455862563090636,0.3593458296287901,0.276635498927158,0.26124128958945003,7.022173325925348,5.6882700229602925,0.21384068399854494,0.3248427741715998,4.528363573320544e-05
7,train,0.06365075389953823,0.3570224612151986,0.2739663665887883,0.2610479122910996,6.984856303726483,5.637178303295024,0.21227848457897847,0.31991423774011357,4.365474899246162e-05
8,train,0.06347027021585051,0.35595709099158135,0.2732812135918218,0.2704964033300833,6.984152585005155,5.641683736309474,0.222138046382927,0.3243897297128369,4.1824215970315096e-05
9,train,0.062427428989475946,0.35321579327480324,0.270410576642135,0.27471204479821876,6.913560171731738,5.574389277281152,0.22978296046827007,0.3284616109841468,3.981209236962e-05
10,train,0.061539377953178695,0.35104776521307657,0.2682427250009367,0.28521646521305044,6.871401970723932,5.527750850559507,0.24079034076492367,0.32182994986727476,3.7640423437609695e-05
