epoch,phase,loss,rmse_tree_count,mae_tree_count,r2_tree_count,rmse_tree_count_orig,mae_tree_count_orig,r2_tree_count_orig,support_ratio,lr
1,train,0.1772458875501478,0.6925743974085415,0.40341431945563067,-7.281715846337132,1.005079940318188,0.7557242503311136,-1.3007793660553375,0.32507478073239326,9.993488369017153e-05
2,train,0.03231254783836571,0.2855046460825147,0.22024347809276534,-0.3877985301557334,0.6916105504946664,0.5572199778466053,-0.06330688554077857,0.32627148594002464,9.973429768024264e-05
3,train,0.029674117629592482,0.2555630245738666,0.21772780535188027,-0.12004428737853123,0.6723533266059775,0.5538055318565507,-0.018601443943315976,0.3258447314839105,9.939876388260622e-05
4,train,0.029199857969541807,0.24809320984987301,0.21664699428228332,-0.05935478813706596,0.6682623845468301,0.5514438262654527,-0.011667175957809528,0.32799439373854045,9.892920197207902e-05
5,train,0.029015515301678632,0.25154461561086605,0.21659987082990417,-0.0876718421026983,0.6666462584663053,0.5512827324405809,-0.003221134687130034,0.32460804223208817,9.83268989852189e-05
5,val,0.029768332456931088,0.33344184650322606,0.218063305963814,-0.8375329818387593,0.7147444474819314,0.5583103378357732,-0.06973549096253295,0.3063403484530938,9.83268989852189e-05
6,train,0.028578474714949325,0.25027498187721925,0.21583712663167628,-0.08486865664909216,0.6603530077477586,0.5488823993170091,0.00257598802234027,0.3190310629638466,9.759350579264724e-05
7,train,0.028426299224028718,0.24856334668483665,0.21557562929937046,-0.0717761919369071,0.658264457279939,0.5480947278063713,0.006412256663200555,0.31894084529296773,9.673103257412743e-05
8,train,0.028660336056271114,0.2443408266834608,0.21603754670843522,-0.021959787594361124,0.6663553244546171,0.550861108772747,0.005676947976463342,0.3180180130576765,9.574184330880152e-05
9,train,0.02842351552602407,0.24156081538110985,0.21580731802289035,-0.0005233751522841779,0.6632853339159599,0.5503503587354861,0.01072059867830577,0.32451263946053144,9.462864929568826e-05
10,train,0.028297321216480154,0.23841687543566853,0.2156127786624567,0.01947241314348591,0.6590926360544407,0.5493902590550922,0.012081482252401576,0.32775221644221125,9.339450172220025e-05
10,val,0.028886452699318912,0.24292501308998943,0.21748854364080433,0.024697341548690965,0.6905711009441676,0.5578003935386809,0.0013998559159256185,0.3063403484530938,9.339450172220025e-05
11,train,0.028674770045924832,0.24081723556331203,0.21606129288837952,0.01744934374323659,0.6723865364826591,0.5523586164153755,0.004512096518201281,0.31917744462151787,9.204278330105191e-05
12,train,0.02844042391390414,0.23981579265704614,0.2155477711136426,0.02186060423093472,0.667072720711856,0.5505844552837763,0.014722378575494965,0.3250639003676337,9.057719899847893e-05
13,train,0.028375470960462414,0.23940263106927887,0.21576860280079477,0.023557372383454678,0.6660826986392088,0.5510942181983557,0.012752653676897152,0.32093454283234235,8.9001765879183e-05
14,train,0.028215872274862754,0.23833255022265695,0.21533293723476785,0.027856118833300303,0.6631149762294875,0.5495356305389935,0.013726151001181575,0.3202865057297655,8.732080209583716e-05
15,train,0.027845640440244932,0.2367994853402197,0.214710382578471,0.028907239887867253,0.6542537776256151,0.5468098179590453,0.018964306477524895,0.320615541189909,8.55389150533292e-05
15,val,0.029319567558092948,0.24528866990510026,0.2202303365936895,0.005625645966184312,0.6854520988215776,0.5644852763489348,0.016149647717898397,0.3063403484530938,8.55389150533292e-05
16,train,0.02806740838128167,0.2376962458196025,0.21481060675129188,0.02827597152046557,0.6613211468078783,0.5477782056649285,0.011204978615312777,0.32425985847776,8.366098878018519e-05
